Property ID,Estatus,Property Name,dataLayer name,Property Description,Grupo,Property Type,Tipo de datos,Ejemplo de respuesta,Front/Back,Fuente
,No implementado,Campaign ID,Campaign ID,,,,String,,,Amplitude
,No implementado,Campaign Name,Campaign Name,,,,String,,,Amplitude
,No implementado,Event Source,Event Source,,,,String,,,Amplitude
,No implementado,HL,HL,,,,String,,,Amplitude
,No implementado,Journey ID,Journey ID,,,,String,,,Amplitude
,No implementado,Journey Name,Journey Name,,,,String,,,Amplitude
,No implementado,Maintenance-CarType,Maintenance-CarType,,,,String,,,Amplitude
,No implementado,OffersMade.offer_consignment_00_currency,OffersMade.offer_consignment_00_currency,,,,String,,,Amplitude
,No implementado,OffersMade.offer_consignment_00_selected,OffersMade.offer_consignment_00_selected,,,,String,,,Amplitude
,No implementado,OffersMade.offer_consignment_00_value,OffersMade.offer_consignment_00_value,,,,String,,,Amplitude
,No implementado,OffersMade.offer_consignment_01_currency,OffersMade.offer_consignment_01_currency,,,,String,,,Amplitude
,No implementado,OffersMade.offer_consignment_01_selected,OffersMade.offer_consignment_01_selected,,,,String,,,Amplitude
,No implementado,OffersMade.offer_consignment_01_value,OffersMade.offer_consignment_01_value,,,,String,,,Amplitude
,No implementado,OffersMade.offer_instant_00_currency,OffersMade.offer_instant_00_currency,,,,String,,,Amplitude
,No implementado,OffersMade.offer_instant_00_selected,OffersMade.offer_instant_00_selected,,,,String,,,Amplitude
,No implementado,OffersMade.offer_instant_00_value,OffersMade.offer_instant_00_value,,,,String,,,Amplitude
,No implementado,OffersMade.offer_instant_01_currency,OffersMade.offer_instant_01_currency,,,,String,,,Amplitude
,No implementado,OffersMade.offer_instant_01_selected,OffersMade.offer_instant_01_selected,,,,String,,,Amplitude
,No implementado,OffersMade.offer_instant_01_value,OffersMade.offer_instant_01_value,,,,String,,,Amplitude
,No implementado,OffersMade.offer_peer_to_peer_00_currency,OffersMade.offer_peer_to_peer_00_currency,,,,String,,,Amplitude
,No implementado,OffersMade.offer_peer_to_peer_00_selected,OffersMade.offer_peer_to_peer_00_selected,,,,String,,,Amplitude
,No implementado,OffersMade.offer_peer_to_peer_00_value,OffersMade.offer_peer_to_peer_00_value,,,,String,,,Amplitude
,No implementado,OffersMade.offer_thirty_days_00_currency,OffersMade.offer_thirty_days_00_currency,,,,String,,,Amplitude
,No implementado,OffersMade.offer_thirty_days_00_selected,OffersMade.offer_thirty_days_00_selected,,,,String,,,Amplitude
,No implementado,OffersMade.offer_thirty_days_00_value,OffersMade.offer_thirty_days_00_value,,,,String,,,Amplitude
,No implementado,OffersMade.offer_trade_in_00_currency,OffersMade.offer_trade_in_00_currency,,,,String,,,Amplitude
,No implementado,OffersMade.offer_trade_in_00_selected,OffersMade.offer_trade_in_00_selected,,,,String,,,Amplitude
,No implementado,OffersMade.offer_trade_in_00_value,OffersMade.offer_trade_in_00_value,,,,String,,,Amplitude
,No implementado,PATH,PATH,,,,String,,,Amplitude
,No implementado,Search Criteria,Search Criteria,,,,String,,,Amplitude
,No implementado,Selected Brand,Selected Brand,,,,String,,,Amplitude
,No implementado,Selected Model,Selected Model,,,,String,,,Amplitude
,No implementado,Selected Year,Selected Year,,,,String,,,Amplitude
,No implementado,Service type,Service type,,,,String,,,Amplitude
,No implementado,Source,Source,,,,String,,,Amplitude
,No implementado,[Amplitude] End Session,[Amplitude] End Session,,,,String,,,Amplitude
,No implementado,[Amplitude] Form Started,[Amplitude] Form Started,,,,String,,,Amplitude
,No implementado,[Amplitude] Page Counter,[Amplitude] Page Counter,,,,String,,,Amplitude
,No implementado,[Amplitude] Session Replay ID,[Amplitude] Session Replay ID,,,,String,,,Amplitude
,No implementado,[Amplitude] Start Session,[Amplitude] Start Session,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] App Type,[Guides-Surveys] App Type,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] Engagement.type,[Guides-Surveys] Engagement.type,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] Is From Debug Mode,[Guides-Surveys] Is From Debug Mode,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] Is From Test Mode,[Guides-Surveys] Is From Test Mode,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] Is Last Step,[Guides-Surveys] Is Last Step,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] Key,[Guides-Surveys] Key,,,,String,,,Amplitude
